"Zeng, Jiaoyang", Ori,China,"$1,464,226.66",Dota 2
"Lee, Sang Hyeok", Faker,"Korea, Republic of","$1,434,271.14",League of Legends
Ian Porter, C6,United States,"$1,417,092.80",Call of Duty: Modern Warfare
Adrian Trinks, FATA,Germany,"$1,410,877.28",Dota 2
"Lu, Chao", Fenrir,China,"$1,406,042.25",Dota 2
Finn Andersen, karrigan,Denmark,"$1,398,538.78",Counter-Strike: Global Offensive
Alec Sanderson, Arcitys,United States,"$1,392,179.09",Call of Duty: Black Ops Cold War
"Zhang, Pan", Mu,China,"$1,390,711.71",Dota 2
"Zhu, Bocheng", paraboy,China,"$1,383,046.37",PLAYERUNKNOWN'S BATTLEGROUNDS Mobile
Tyler Pharris, aBeZy,United States,"$1,382,405.68",Call of Duty: Black Ops Cold War
Vladimir Nikogosyan, RodjER,Russian Federation,"$1,377,402.77",Dota 2
"Peng, Yunfei", Fly,China,"$1,355,904.38",Arena of Valor
Jaden Ashman, Wolfiez,United Kingdom,"$1,352,428.07",Fortnite
"Liang, Fa Ming", DDC,Macao,"$1,345,435.47",Dota 2
Christopher Lehr, Simp,United States,"$1,343,078.33",Call of Duty: Black Ops Cold War
Williams Aubin, Zayt,Canada,"$1,331,631.42",Fortnite
"Du, Peng", Monet,China,"$1,315,015.58",Dota 2
"Song, Chun", Sccc,China,"$1,286,950.54",Dota 2
"Jiao, Wang", Banana,China,"$1,283,122.84",Dota 2
"Zeng, Zehai", Order,China,"$1,282,260.86",PLAYERUNKNOWN'S BATTLEGROUNDS Mobile
Russel Van Dulken, Twistzz,Canada,"$1,264,293.10",Counter-Strike: Global Offensive
"Liu, Tianhao", YZ,China,"$1,245,658.28",Arena of Valor
"Xu, Yinjun", Jimmy,"Taiwan, Republic of China","$1,242,704.32",PLAYERUNKNOWN'S BATTLEGROUNDS Mobile
