Johan Sundstein,7184163.05, N0tail
Jesse Vainikka,6486948.78, JerAx
Anathan Pham,6024411.96, ana
Sébastien Debs,5823909.4, Ceb
Topias Taavitsainen,5690417.57, Topson
Kuro Takhasomi,5276347.73, KuroKy
Amer Al-Barkawi,4877285.26, Miracle-
Lasse Urpalainen,4873411.04, Matumbaman
Ivan Ivanov,4660359.74, MinD_ContRoL
Maroun Merhej,4274654.27, GH
