Fortnite: Chapter 3,"
Action, Adventure, Fantasy            ",2021,None,"
The Island has flipped. The Foundation is seeking help from the Loopers and Agent Jones helps him and The Seven reunite and find Geno.",806,"Stars:
Troy Baker, 
Dawn M. Bennett, 
Justin Cabanting, 
Tom Holland",6.1
Five Nights at Freddy's: Security Breach,"
Horror, Mystery            ",2021,"Director:
Jason Topolski","
Play as Gregory, a young boy who's been trapped overnight inside of Freddy Fazbear's Mega Pizzaplex. With the help of Freddy himself, Gregory must uncover the secrets of the Pizzaplex, learn the truth, and survive until dawn.",779,"Stars:
Andy Field, 
Kellen Goff, 
Heather Masters, 
Cameron Miller",6.7
Battlefield 2042,"
Action, Adventure, Sci-Fi            ",2021,"Directors:
Eric Holmes, 
Glen Donoghue, 
Kate Saxon, 
Caroline Livingstone","
In the near future the world has entered a set of constant chaos with a massive immigration crisis birthing a rebellion against the last all encompassing world government.",761,"Stars:
Michael Kenneth Williams, 
Ronan Summers, 
Gabrielle Fritz, 
Stephane Cornicard",3.1
Kena: Bridge of Spirits,"
Action, Adventure, Fantasy            ",2021,"Director:
Mike Grier","
The story follows Kena, a young spirit guide who uses her magical abilities to help deceased people move from the physical to the spirit world.",730,"Stars:
Dewa Ayu Dewi Larassanti, 
Sam Cavallaro, 
Joshua Martin Vincent, 
Masashi Odate",8.1
The Medium,"
Horror, Mystery, Thriller            ",2021,None,"
The Medium is set in Poland in the late '80s. The game casts players in the role of Marianne, a medium who is haunted by visions of a child's murder. To unravel the truth behind this ...                See full summary »
",679,"Stars:
Kelly Burke, 
Graham Vick, 
Angeli Wall, 
Troy Baker",7.2
Psychonauts 2,"
Action, Adventure, Comedy            ",2021,"Director:
Tim Schafer","
The game will pick up after the conclusion of Psychonauts in the Rhombus of Ruin, following Zanotto's rescue, the team returns to Psychonaut Headquarters, where Raz discovers that the ...                See full summary »
",674,"Stars:
Richard Steven Horvitz, 
Carson Annable, 
Krizia Bajos, 
Poonam Basu",8.8
Returnal,"
Action, Adventure, Horror            ",2021,"Director:
Harry Krueger","
Roguelike about an astronaut trying to reach the source of a strange signal on a surreal forbidden planet where each time she gets killed by the hostile aliens she's sent back to the moment she arrived on the alien world.",622,"Stars:
Jane Perry, 
Nicholas Parris, 
Anne Beyer, 
Elijah Maximus",8.2
Super Mario 3D World + Bowser's Fury,"
Action, Adventure, Fantasy            ",2021,None,"
Enhanced port of Super Mario 3D World (2013) featuring online multiplayer, Amiibo functionality, a Snapshot feature for taking in-game screenshots, and four-player co-op to the Captain Toad levels.",608,"Stars:
Toru Asakawa, 
Kenny James, 
Samantha Kelly, 
Charles Martinet",8.6
Poppy Playtime,"
Action, Adventure, Horror            ",2021,"Director:
Isaac Christopherson","
In this horror/puzzle adventure, You must survive the vengeful toys waiting for you in the abandoned toy factory, Use your GrabPack and Explore the mysterious facility.. and don't get caught.",581,"Stars:
Nola Klop, 
Emily Frongillo, 
Elsie Lovelock, 
Zachery Preciado",6.7
The Matrix Awakens: An Unreal Engine 5 Experience,"
Action, Sci-Fi            ",2021,"Directors:
James McTeigue, 
Lana Wachowski","
THE MATRIX AWAKENS: AN UNREAL ENGINE 5 EXPERIENCE' is a free, cutting-edge cinematic and open world interactive tech demo that combines the power of PlayStation®5 with UE5. An original ...                See full summary »
",580,"Stars:
Carrie-Anne Moss, 
Keanu Reeves, 
Felicia Simone",7.9
Metroid Dread,"
Action, Adventure, Mystery            ",2021,"Directors:
Fumi Hayashi, 
José Luis Márquez","
Set after Metroid Fusion, players control bounty hunter Samus Aran as she faces a new robotic enemy on the planet ZDR.",543,"Stars:
Stephen Hughes, 
Dave Rogers Ruiz, 
Nikki García, 
Holly Renaut",8.8
Grand Theft Auto: The Trilogy - The Definitive Edition,"
Action, Crime, Drama            ",2021,None,"
Remastered versions of the first 3 original 3D era Grand Theft Auto games: Grand Theft Auto III (2001), Grand Theft Auto: Vice City (2002) and Grand Theft Auto: San Andreas (2004) updated for modern consoles.",538,"Stars:
Frank Vincent, 
Joe Pantoliano, 
Michael Madsen, 
Michael Rapaport",3.9
Back 4 Blood,"
Action, Adventure, Horror            ",2021,None,"
A thrilling cooperative first person shooter from the creators of the critically acclaimed Left 4 Dead franchise. You are at the center of a war against the Ridden. These once-human hosts ...                See full summary »
",459,"Stars:
Abby Trott, 
Alan Ayala, 
Aleks Le, 
Alexis DeLaRosa",6.1
